"Site","Year","Latitude","Longitude"
"UGOH _ 87 _ 2025",2025,"57.5669076186383","-157.02136824343"
"UGOH _ 88 _ 2025",2025,"57.5694445657344","-157.01641720745"
"UGOH _ 89 _ 2025",2025,"57.5666875211665","-157.02119734971"
"UGOH _ 90 _ 2025",2025,"57.5667780799236","-157.02033963981"
"UGOH _ 91 _ 2025",2025,"57.5671835060788","-157.02116323722"
"UGOH _ 92 _ 2025",2025,"57.5694035356814","-157.01567871774"
"UGOH _ 93 _ 2025",2025,"57.5696861683137","-157.01488558636"
"UGOH _ 94 _ 2025",2025,"57.5695980515677","-157.0141615983"
"UGOH _ 95 _ 2025",2025,"57.5671619142622","-157.0213263057"
"UGOH _ 96 _ 2025",2025,"57.5694445477523","-157.0161890084"
"UGOH _ 97 _ 2025",2025,"57.5682779894155","-157.01447371056"
"UGOH _ 98 _ 2025",2025,"57.5694571376576","-157.01659777675"
"UGOH _ 99 _ 2025",2025,"57.5696063188512","-157.01408178733"
"UGOH _ 100 _ 2025",2025,"57.5691977352203","-157.01419066951"
"UGOH _ 101 _ 2025",2025,"57.5680790223568","-157.01769408241"
"UGOH _ 102 _ 2025",2025,"57.5680965721858","-157.02113007507"
"UGOH _ 103 _ 2025",2025,"57.5697968589405","-157.01467014940"
"UGOH _ 104 _ 2025",2025,"57.5665892950705","-157.0205834165"
"UGOH _ 105 _ 2025",2025,"57.5669139118877","-157.0201981053"
"UGOH _ 106 _ 2025",2025,"57.570566247587","-157.013316382"
"UGOH _ 107 _ 2025",2025,"57.5683162500485","-157.02090699939"
"UGOH _ 108 _ 2025",2025,"57.5674810532407","-157.01896891022"
"UGOH _ 109 _ 2025",2025,"57.5679285077776","-157.01680948948"
"UGOH _ 110 _ 2025",2025,"57.5685435303013","-157.02091308144"
"UGOH _ 111 _ 2025",2025,"57.5687076348983","-157.02073709006"
"UGOH _ 112 _ 2025",2025,"57.5696105667327","-157.01411125863"
"UGOH _ 113 _ 2025",2025,"57.569587355124","-157.01405836059"
"UGOH _ 114 _ 2025",2025,"57.5704866011106","-157.01365341952"
"UGOH _ 115 _ 2025",2025,"57.5702643054748","-157.01373790964"
"UGOH _ 116 _ 2025",2025,"57.5694730308565","-157.01447882778"
"UGOH _ 117 _ 2025",2025,"57.5707887866141","-157.01276739253"
"UGOH _ 118 _ 2025",2025,"57.5696053615971","-157.01469410055"
"UGOH _ 119 _ 2025",2025,"57.570186898627","-157.0138001577"
"UGOH _ 120 _ 2025",2025,"57.567487977387","-157.01902945752"
"CBOH _ 1 _ 2025",2025,"55.2010325946868","-162.71687310885"
"CBOH _ 2 _ 2025",2025,"55.2027130118377","-162.7225368143"
"CBOH _ 3 _ 2025",2025,"55.2011601631133","-162.72170647419"
"CBOH _ 4 _ 2025",2025,"55.2030067076646","-162.72251732578"
"CBOH _ 5 _ 2025",2025,"55.2022777735755","-162.72167955286"
"CBOH _ 6 _ 2025",2025,"55.2034671458884","-162.72195133483"
"CBOH _ 7 _ 2025",2025,"55.2013440238369","-162.72161437773"
"CBOH _ 8 _ 2025",2025,"55.2032480595634","-162.72154130574"
"CBOH _ 9 _ 2025",2025,"55.2027203708535","-162.72211503002"
"CBOH _ 10 _ 2025",2025,"55.2009094412064","-162.71625197752"
"CBOH _ 11 _ 2025",2025,"55.2034689029791","-162.721812819"
"CBOH _ 12 _ 2025",2025,"55.2009587775739","-162.71657133023"
"CBOH _ 13 _ 2025",2025,"55.2007954179194","-162.71618632799"
"CBOH _ 14 _ 2025",2025,"55.2037051523895","-162.7211906054"
"CBOH _ 15 _ 2025",2025,"55.2006836946165","-162.71460684032"
"CBOH _ 16 _ 2025",2025,"55.2009909498483","-162.72186958430"
"CBOH _ 17 _ 2025",2025,"55.201188271598","-162.72200514679"
"CBOH _ 18 _ 2025",2025,"55.2020241526233","-162.72246814214"
