"Site","name","label","Year","pointname","infestationname","Count","geometry","dotcolor"
"CBOH_111_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_111","Cold Bay Orange Hawkweed",0,"c(-162.722266343095"," 55.2020277527185)"
"CBOH_112_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_112","Cold Bay Orange Hawkweed",1,"c(-162.716773172096"," 55.2010709554031)"
"CBOH_113_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_113","Cold Bay Orange Hawkweed",0,"c(-162.721142884615"," 55.2032130884769)"
"CBOH_114_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_114","Cold Bay Orange Hawkweed",0,"c(-162.720996570715"," 55.2014006868947)"
"CBOH_115_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_115","Cold Bay Orange Hawkweed",0,"c(-162.722263445603"," 55.2019309761991)"
"CBOH_116_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_116","Cold Bay Orange Hawkweed",0,"c(-162.721514264149"," 55.2033398098671)"
"CBOH_117_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_117","Cold Bay Orange Hawkweed",0,"c(-162.7220035034"," 55.2024368475266)"
"CBOH_118_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_118","Cold Bay Orange Hawkweed",0,"c(-162.721950574622"," 55.201943749428)"
"CBOH_119_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_119","Cold Bay Orange Hawkweed",0,"c(-162.72096333537"," 55.2035481836475)"
"CBOH_12_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_12","Cold Bay Orange Hawkweed",0,"c(-162.722674287333"," 55.2026365485345)"
"CBOH_120_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_120","Cold Bay Orange Hawkweed",0,"c(-162.722330740758"," 55.2021683797606)"
"CBOH_14_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_14","Cold Bay Orange Hawkweed",0,"c(-162.722449827842"," 55.2018258493625)"
"CBOH_15_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_15","Cold Bay Orange Hawkweed",0,"c(-162.72203274427"," 55.202788972059)"
"CBOH_16_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_16","Cold Bay Orange Hawkweed",0,"c(-162.723090598556"," 55.2032178427793)"
"CBOH_17_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_17","Cold Bay Orange Hawkweed",0,"c(-162.722095195781"," 55.2012523274781)"
"CBOH_18_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_18","Cold Bay Orange Hawkweed",9,"c(-162.721747971545"," 55.2030902217785)"
"CBOH_19_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_19","Cold Bay Orange Hawkweed",0,"c(-162.721849537472"," 55.203453549234)"
"CBOH_2_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_2","Cold Bay Orange Hawkweed",0,"c(-162.721759102632"," 55.2020173518294)"
"CBOH_20_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_20","Cold Bay Orange Hawkweed",0,"c(-162.72226296736"," 55.2028238424131)"
"CBOH_21_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_21","Cold Bay Orange Hawkweed",0,"c(-162.722393503097"," 55.2029020747218)"
"CBOH_23_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_23","Cold Bay Orange Hawkweed",0,"c(-162.721310879307"," 55.2036261834272)"
"CBOH_24_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_24","Cold Bay Orange Hawkweed",0,"c(-162.722775386933"," 55.2029486527828)"
"CBOH_25_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_25","Cold Bay Orange Hawkweed",0,"c(-162.715693316807"," 55.2006932925965)"
"CBOH_26_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_26","Cold Bay Orange Hawkweed",0,"c(-162.721281252194"," 55.2013458955857)"
"CBOH_27_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_27","Cold Bay Orange Hawkweed",0,"c(-162.716748879361"," 55.2011578246935)"
"CBOH_28_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_28","Cold Bay Orange Hawkweed",0,"c(-162.716691894271"," 55.2008806804186)"
"CBOH_29_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_29","Cold Bay Orange Hawkweed",0,"c(-162.722874028608"," 55.203276030197)"
"CBOH_3_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_3","Cold Bay Orange Hawkweed",0,"c(-162.715765677111"," 55.2006367223163)"
"CBOH_30_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_30","Cold Bay Orange Hawkweed",0,"c(-162.721482137907"," 55.2018941586127)"
"CBOH_31_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_31","Cold Bay Orange Hawkweed",0,"c(-162.721777103472"," 55.2033788720742)"
"CBOH_32_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_32","Cold Bay Orange Hawkweed",0,"c(-162.720854668801"," 55.203258287209)"
"CBOH_33_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_33","Cold Bay Orange Hawkweed",0,"c(-162.721831864717"," 55.2024517466322)"
"CBOH_34_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_34","Cold Bay Orange Hawkweed",0,"c(-162.722133885155"," 55.2019677404305)"
"CBOH_35_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_35","Cold Bay Orange Hawkweed",0,"c(-162.713869661689"," 55.2044497182279)"
"CBOH_36_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_36","Cold Bay Orange Hawkweed",0,"c(-162.721751702297"," 55.2011613926901)"
"CBOH_37_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_37","Cold Bay Orange Hawkweed",0,"c(-162.721026130844"," 55.2014012515333)"
"CBOH_38_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_38","Cold Bay Orange Hawkweed",4,"c(-162.721384145824"," 55.2020083358078)"
"CBOH_39_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_39","Cold Bay Orange Hawkweed",0,"c(-162.721810214284"," 55.2012500726087)"
"CBOH_4_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_4","Cold Bay Orange Hawkweed",0,"c(-162.716712203393"," 55.2011438472088)"
"CBOH_40_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_40","Cold Bay Orange Hawkweed",0,"c(-162.72174792392"," 55.2021440065452)"
"CBOH_41_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_41","Cold Bay Orange Hawkweed",0,"c(-162.721583922453"," 55.2011590858849)"
"CBOH_42_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_42","Cold Bay Orange Hawkweed",0,"c(-162.714428211344"," 55.2006040600797)"
"CBOH_43_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_43","Cold Bay Orange Hawkweed",0,"c(-162.722073799465"," 55.2030091826769)"
"CBOH_44_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_44","Cold Bay Orange Hawkweed",0,"c(-162.715357130808"," 55.2007798072767)"
"CBOH_45_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_45","Cold Bay Orange Hawkweed",0,"c(-162.714889426609"," 55.2006649763131)"
"CBOH_46_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_46","Cold Bay Orange Hawkweed",0,"c(-162.721931980156"," 55.2027122911715)"
"CBOH_47_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_47","Cold Bay Orange Hawkweed",0,"c(-162.716325805933"," 55.2010512046593)"
"CBOH_48_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_48","Cold Bay Orange Hawkweed",0,"c(-162.722577855478"," 55.2032551118905)"
"CBOH_49_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_49","Cold Bay Orange Hawkweed",0,"c(-162.723132829926"," 55.2029439906294)"
"CBOH_5_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_5","Cold Bay Orange Hawkweed",0,"c(-162.721735912992"," 55.201783579795)"
"CBOH_50_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_50","Cold Bay Orange Hawkweed",0,"c(-162.722282525599"," 55.2019028057563)"
"CBOH_51_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_51","Cold Bay Orange Hawkweed",0,"c(-162.721814311593"," 55.2019974780677)"
"CBOH_52_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_52","Cold Bay Orange Hawkweed",0,"c(-162.721065441146"," 55.2031621769095)"
"CBOH_53_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_53","Cold Bay Orange Hawkweed",0,"c(-162.722353138723"," 55.2027773017233)"
"CBOH_54_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_54","Cold Bay Orange Hawkweed",0,"c(-162.723211496286"," 55.203222188919)"
"CBOH_55_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_55","Cold Bay Orange Hawkweed",0,"c(-162.722433624839"," 55.2020556125238)"
"CBOH_56_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_56","Cold Bay Orange Hawkweed",0,"c(-162.721600349702"," 55.2018204638781)"
"CBOH_57_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_57","Cold Bay Orange Hawkweed",0,"c(-162.716091324879"," 55.2009566815086)"
"CBOH_58_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_58","Cold Bay Orange Hawkweed",0,"c(-162.721399002951"," 55.201327005288)"
"CBOH_59_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_59","Cold Bay Orange Hawkweed",0,"c(-162.716247947903"," 55.2006852163099)"
"CBOH_6_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_6","Cold Bay Orange Hawkweed",3,"c(-162.714497646302"," 55.2006608406517)"
"CBOH_60_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_60","Cold Bay Orange Hawkweed",0,"c(-162.72112896686"," 55.2032667979243)"
"CBOH_61_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_61","Cold Bay Orange Hawkweed",0,"c(-162.716052863531"," 55.200652058375)"
"CBOH_63_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_63","Cold Bay Orange Hawkweed",0,"c(-162.722124548863"," 55.2028068675251)"
"CBOH_64_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_64","Cold Bay Orange Hawkweed",2,"c(-162.722508637216"," 55.2029225669445)"
"CBOH_65_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_65","Cold Bay Orange Hawkweed",1,"c(-162.720906269472"," 55.2012906705739)"
"CBOH_66_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_66","Cold Bay Orange Hawkweed",0,"c(-162.716769315979"," 55.2012160187256)"
"CBOH_67_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_67","Cold Bay Orange Hawkweed",0,"c(-162.721991384115"," 55.2022437101448)"
"CBOH_68_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_68","Cold Bay Orange Hawkweed",4,"c(-162.71642610903"," 55.2010109073769)"
"CBOH_69_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_69","Cold Bay Orange Hawkweed",0,"c(-162.715669904943"," 55.2006600407136)"
"CBOH_7_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_7","Cold Bay Orange Hawkweed",9,"c(-162.72167664634"," 55.2023412796902)"
"CBOH_70_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_70","Cold Bay Orange Hawkweed",0,"c(-162.72211020055"," 55.2021885888336)"
"CBOH_71_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_71","Cold Bay Orange Hawkweed",0,"c(-162.721600131004"," 55.2012572250648)"
"CBOH_72_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_72","Cold Bay Orange Hawkweed",9,"c(-162.722364806918"," 55.2022378473524)"
"CBOH_73_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_73","Cold Bay Orange Hawkweed",0,"c(-162.721495679217"," 55.201411142545)"
"CBOH_74_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_74","Cold Bay Orange Hawkweed",0,"c(-162.723066909994"," 55.2027919406496)"
"CBOH_75_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_75","Cold Bay Orange Hawkweed",0,"c(-162.71589763532"," 55.2007517223261)"
"CBOH_76_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_76","Cold Bay Orange Hawkweed",0,"c(-162.721412752397"," 55.2019716052613)"
"CBOH_77_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_77","Cold Bay Orange Hawkweed",0,"c(-162.716643846245"," 55.2007908156993)"
"CBOH_79_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_79","Cold Bay Orange Hawkweed",0,"c(-162.72217978112"," 55.2033493788534)"
"CBOH_8_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_8","Cold Bay Orange Hawkweed",0,"c(-162.722195113861"," 55.2024271674987)"
"CBOH_80_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_80","Cold Bay Orange Hawkweed",0,"c(-162.716188342083"," 55.2006519375155)"
"CBOH_81_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_81","Cold Bay Orange Hawkweed",0,"c(-162.722002774565"," 55.2020579245748)"
"CBOH_82_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_82","Cold Bay Orange Hawkweed",0,"c(-162.722022397912"," 55.2027459530871)"
"CBOH_83_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_83","Cold Bay Orange Hawkweed",0,"c(-162.722626065348"," 55.2032723776912)"
"CBOH_84_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_84","Cold Bay Orange Hawkweed",0,"c(-162.72249065681"," 55.2031624650088)"
"CBOH_85_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_85","Cold Bay Orange Hawkweed",0,"c(-162.722879885751"," 55.2030153492487)"
"CBOH_86_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_86","Cold Bay Orange Hawkweed",0,"c(-162.720976036493"," 55.203374885947)"
"CBOH_87_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_87","Cold Bay Orange Hawkweed",0,"c(-162.723047645262"," 55.2032378264783)"
"CBOH_88_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_88","Cold Bay Orange Hawkweed",0,"c(-162.722480254967"," 55.2027774057797)"
"CBOH_89_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_89","Cold Bay Orange Hawkweed",0,"c(-162.721969654299"," 55.2019739227089)"
"CBOH_9_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_9","Cold Bay Orange Hawkweed",0,"c(-162.721479075741"," 55.2013036252879)"
"CBOH_90_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_90","Cold Bay Orange Hawkweed",0,"c(-162.721926425512"," 55.2011580579868)"
"CBOH_91_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_91","Cold Bay Orange Hawkweed",0,"c(-162.721992679951"," 55.202404877153)"
"CBOH_92_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_92","Cold Bay Orange Hawkweed",0,"c(-162.722410680983"," 55.2031810738362)"
"CBOH_93_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_93","Cold Bay Orange Hawkweed",0,"c(-162.714630392375"," 55.2005940817722)"
"CBOH_94_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_94","Cold Bay Orange Hawkweed",4,"c(-162.715966788253"," 55.2008714871599)"
"CBOH_95_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_95","Cold Bay Orange Hawkweed",0,"c(-162.723425288978"," 55.203196143321)"
"CBOH_96_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_96","Cold Bay Orange Hawkweed",0,"c(-162.722174408866"," 55.2031900937391)"
"CBOH_97_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_97","Cold Bay Orange Hawkweed",1,"c(-162.715665393474"," 55.2008282211007)"
"CBOH_98_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_98","Cold Bay Orange Hawkweed",0,"c(-162.721868377731"," 55.2030479540828)"
"CBOH_99_2023","CBOH","Cold Bay Orange Hawkweed","2023","CBOH_99","Cold Bay Orange Hawkweed",0,"c(-162.716885506069"," 55.2009920845981)"
"UGOH_1_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_1","Ugashik Orange Hawkweed",3,"c(-157.018466072996"," 57.5677584989667)"
"UGOH_10_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_10","Ugashik Orange Hawkweed",1,"c(-157.014839298086"," 57.5697169408632)"
"UGOH_100_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_100","Ugashik Orange Hawkweed",0,"c(-157.013694658522"," 57.5702983507377)"
"UGOH_101_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_101","Ugashik Orange Hawkweed",0,"c(-157.020327922524"," 57.5667616335653)"
"UGOH_102_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_102","Ugashik Orange Hawkweed",1,"c(-157.014748275502"," 57.5697735336536)"
"UGOH_103_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_103","Ugashik Orange Hawkweed",0,"c(-157.014362654772"," 57.5697158153011)"
"UGOH_104_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_104","Ugashik Orange Hawkweed",5,"c(-157.014747360122"," 57.5697558281209)"
"UGOH_105_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_105","Ugashik Orange Hawkweed",5,"c(-157.014242080823"," 57.5694230705843)"
"UGOH_106_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_106","Ugashik Orange Hawkweed",9,"c(-157.014070901485"," 57.5697054399331)"
"UGOH_107_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_107","Ugashik Orange Hawkweed",0,"c(-157.014769620138"," 57.569569309377)"
"UGOH_108_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_108","Ugashik Orange Hawkweed",6,"c(-157.02130913388"," 57.5667234433505)"
"UGOH_109_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_109","Ugashik Orange Hawkweed",0,"c(-157.020954734688"," 57.5684071510023)"
"UGOH_11_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_11","Ugashik Orange Hawkweed",4,"c(-157.014186361251"," 57.5694748761007)"
"UGOH_110_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_110","Ugashik Orange Hawkweed",3,"c(-157.014696358631"," 57.5695414653506)"
"UGOH_111_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_111","Ugashik Orange Hawkweed",0,"c(-157.017318570318"," 57.5680847225599)"
"UGOH_112_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_112","Ugashik Orange Hawkweed",1,"c(-157.01421190419"," 57.5693073925789)"
"UGOH_113_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_113","Ugashik Orange Hawkweed",9,"c(-157.01423263494"," 57.5693965250009)"
"UGOH_115_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_115","Ugashik Orange Hawkweed",1,"c(-157.018159626635"," 57.5678699814258)"
"UGOH_116_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_116","Ugashik Orange Hawkweed",0,"c(-157.014640442216"," 57.5696796168632)"
"UGOH_117_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_117","Ugashik Orange Hawkweed",0,"c(-157.020825704"," 57.5684159171194)"
"UGOH_119_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_119","Ugashik Orange Hawkweed",0,"c(-157.021338718773"," 57.5672117530507)"
"UGOH_12_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_12","Ugashik Orange Hawkweed",1,"c(-157.014593851666"," 57.5694416959892)"
"UGOH_120_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_120","Ugashik Orange Hawkweed",0,"c(-157.021208983606"," 57.567959625726)"
"UGOH_13_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_13","Ugashik Orange Hawkweed",1,"c(-157.017896952109"," 57.5679899142648)"
"UGOH_15_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_15","Ugashik Orange Hawkweed",0,"c(-157.018251248394"," 57.5678619792944)"
"UGOH_16_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_16","Ugashik Orange Hawkweed",0,"c(-157.019530782329"," 57.5672503806947)"
"UGOH_18_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_18","Ugashik Orange Hawkweed",9,"c(-157.014298836816"," 57.5686024783208)"
"UGOH_19_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_19","Ugashik Orange Hawkweed",3,"c(-157.017930862176"," 57.5679293708547)"
"UGOH_2_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_2","Ugashik Orange Hawkweed",5,"c(-157.015314278007"," 57.5677994653618)"
"UGOH_20_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_20","Ugashik Orange Hawkweed",0,"c(-157.019711247974"," 57.567156992774)"
"UGOH_21_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_21","Ugashik Orange Hawkweed",0,"c(-157.019126391811"," 57.5674400783424)"
"UGOH_22_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_22","Ugashik Orange Hawkweed",0,"c(-157.014612830163"," 57.5698584580216)"
"UGOH_23_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_23","Ugashik Orange Hawkweed",3,"c(-157.017231199675"," 57.5680303275743)"
"UGOH_24_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_24","Ugashik Orange Hawkweed",0,"c(-157.01464899725"," 57.5697665088725)"
"UGOH_25_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_25","Ugashik Orange Hawkweed",0,"c(-157.02138424241"," 57.5670068208025)"
"UGOH_26_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_26","Ugashik Orange Hawkweed",8,"c(-157.014371606797"," 57.5684638048986)"
"UGOH_27_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_27","Ugashik Orange Hawkweed",0,"c(-157.018094821373"," 57.5678926288738)"
"UGOH_28_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_28","Ugashik Orange Hawkweed",3,"c(-157.014630517984"," 57.5695172953993)"
"UGOH_30_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_30","Ugashik Orange Hawkweed",9,"c(-157.014552904526"," 57.5682442646747)"
"UGOH_31_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_31","Ugashik Orange Hawkweed",0,"c(-157.018383187488"," 57.5677446295836)"
"UGOH_32_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_32","Ugashik Orange Hawkweed",7,"c(-157.014013469757"," 57.5697840909041)"
"UGOH_33_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_33","Ugashik Orange Hawkweed",0,"c(-157.013515486176"," 57.5705337097254)"
"UGOH_34_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_34","Ugashik Orange Hawkweed",5,"c(-157.021271420844"," 57.5674134568304)"
"UGOH_35_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_35","Ugashik Orange Hawkweed",0,"c(-157.020768517727"," 57.5664931248208)"
"UGOH_36_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_36","Ugashik Orange Hawkweed",0,"c(-157.02102361783"," 57.5682249989871)"
"UGOH_37_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_37","Ugashik Orange Hawkweed",0,"c(-157.014506309453"," 57.5697103976544)"
"UGOH_38_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_38","Ugashik Orange Hawkweed",2,"c(-157.018634667355"," 57.5676354607925)"
"UGOH_39_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_39","Ugashik Orange Hawkweed",2,"c(-157.014763986388"," 57.5697920951576)"
"UGOH_40_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_40","Ugashik Orange Hawkweed",0,"c(-157.016518084783"," 57.5694165496734)"
"UGOH_41_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_41","Ugashik Orange Hawkweed",3,"c(-157.021249412567"," 57.5666091252768)"
"UGOH_42_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_42","Ugashik Orange Hawkweed",7,"c(-157.021186090407"," 57.5665533557513)"
"UGOH_43_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_43","Ugashik Orange Hawkweed",0,"c(-157.015111090257"," 57.5694522345005)"
"UGOH_47_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_47","Ugashik Orange Hawkweed",7,"c(-157.014323244901"," 57.5693586214237)"
"UGOH_49_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_49","Ugashik Orange Hawkweed",0,"c(-157.018344263725"," 57.5677644095644)"
"UGOH_50_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_50","Ugashik Orange Hawkweed",0,"c(-157.012523401914"," 57.5708567681634)"
"UGOH_51_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_51","Ugashik Orange Hawkweed",0,"c(-157.014917784326"," 57.5697264465164)"
"UGOH_53_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_53","Ugashik Orange Hawkweed",3,"c(-157.018560650602"," 57.5676759784146)"
"UGOH_54_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_54","Ugashik Orange Hawkweed",0,"c(-157.020911821616"," 57.5683164767491)"
"UGOH_55_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_55","Ugashik Orange Hawkweed",5,"c(-157.021322034592"," 57.5670577050688)"
"UGOH_56_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_56","Ugashik Orange Hawkweed",0,"c(-157.01502882591"," 57.5693415086678)"
"UGOH_57_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_57","Ugashik Orange Hawkweed",0,"c(-157.014722279894"," 57.5698552885248)"
"UGOH_58_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_58","Ugashik Orange Hawkweed",9,"c(-157.015046647476"," 57.5694016608772)"
"UGOH_6_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_6","Ugashik Orange Hawkweed",0,"c(-157.02117683376"," 57.5673915259741)"
"UGOH_60_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_60","Ugashik Orange Hawkweed",9,"c(-157.015939243402"," 57.5677710183648)"
"UGOH_61_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_61","Ugashik Orange Hawkweed",3,"c(-157.014998882497"," 57.5694248200575)"
"UGOH_62_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_62","Ugashik Orange Hawkweed",2,"c(-157.014283748422"," 57.5691045902648)"
"UGOH_64_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_64","Ugashik Orange Hawkweed",2,"c(-157.015788220346"," 57.5677798527757)"
"UGOH_65_2023","UGOH","Ugashik Orange Hawkweed","2023","UGOH_65","Ugashik Orange Hawkweed",1,"c(-157.014824165943"," 57.569810628425)"
