"Site","name","label","Year","pointname","infestationname","Count","geometry","dotcolor"
"CBCT_27_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_27","Cold Bay Creeping Thistle",0,"c(-162.713986518567"," 55.204499011586)"
"CBCT_28_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_28","Cold Bay Creeping Thistle",0,"c(-162.714494828667"," 55.2058922458469)"
"CBCT_29_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_29","Cold Bay Creeping Thistle",0,"c(-162.715375310415"," 55.2053565381816)"
"CBCT_3_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_3","Cold Bay Creeping Thistle",0,"c(-162.714278133362"," 55.2060738395463)"
"CBCT_30_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_30","Cold Bay Creeping Thistle",2,"c(-162.599112332821"," 55.1471335005085)"
"CBCT_31_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_31","Cold Bay Creeping Thistle",0,"c(-162.71811659282"," 55.2064646270793)"
"CBCT_32_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_32","Cold Bay Creeping Thistle",6,"c(-162.71495999793"," 55.204999555209)"
"CBCT_33_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_33","Cold Bay Creeping Thistle",0,"c(-162.714215454919"," 55.2059536950969)"
"CBCT_34_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_34","Cold Bay Creeping Thistle",0,"c(-162.715086637229"," 55.2059779947138)"
"CBCT_35_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_35","Cold Bay Creeping Thistle",0,"c(-162.714202389976"," 55.2047608273267)"
"CBCT_37_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_37","Cold Bay Creeping Thistle",0,"c(-162.714540788108"," 55.2056770577378)"
"CBCT_38_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_38","Cold Bay Creeping Thistle",1,"c(-162.71432826229"," 55.2054554130881)"
"CBCT_39_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_39","Cold Bay Creeping Thistle",1,"c(-162.714900564914"," 55.2054533821643)"
"CBCT_4_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_4","Cold Bay Creeping Thistle",0,"c(-162.718200098787"," 55.2066802299031)"
"CBCT_40_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_40","Cold Bay Creeping Thistle",1,"c(-162.71674633781"," 55.2070207298736)"
"CBCT_41_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_41","Cold Bay Creeping Thistle",9,"c(-162.715056724874"," 55.2056645400548)"
"CBCT_42_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_42","Cold Bay Creeping Thistle",0,"c(-162.71517493018"," 55.205083522527)"
"CBCT_43_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_43","Cold Bay Creeping Thistle",2,"c(-162.713964424285"," 55.2065391693979)"
"CBCT_44_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_44","Cold Bay Creeping Thistle",0,"c(-162.716494345494"," 55.2066546992546)"
"CBCT_45_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_45","Cold Bay Creeping Thistle",0,"c(-162.714983412199"," 55.2061484561216)"
"CBCT_46_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_46","Cold Bay Creeping Thistle",3,"c(-162.715158490008"," 55.2054627981918)"
