pointname,infestationname,Year,Count,geometry,dotcolor,Notes
CBCT 48,Cold Bay Creeping Thistle,2023,0,c(-162.598916991225, 55.1473728791491),#FD0E35
CBCT 49,Cold Bay Creeping Thistle,2023,0,c(-162.713958359972, 55.2058508330397),black
CBCT 5,Cold Bay Creeping Thistle,2023,0,c(-162.714913019561, 55.2062752859115),gray
CBCT 50,Cold Bay Creeping Thistle,2023,0,c(-162.716640823822, 55.2070094108061),black
CBCT 51,Cold Bay Creeping Thistle,2023,0,c(-162.718154519462, 55.206643673006),black
CBCT 52,Cold Bay Creeping Thistle,2023,0,c(-162.714076756162, 55.2054660339863),#FD0E35
CBCT 53,Cold Bay Creeping Thistle,2023,0,c(-162.714099591145, 55.2046154434295),black
CBCT 54,Cold Bay Creeping Thistle,2023,0,c(-162.714215845752, 55.2053592462246),black
CBCT 55,Cold Bay Creeping Thistle,2023,0,c(-162.71445959325, 55.2045491666849),black
CBCT 56,Cold Bay Creeping Thistle,2023,0,c(-162.713805135634, 55.2059115378689),black
CBCT 57,Cold Bay Creeping Thistle,2023,0,c(-162.717800432248, 55.2066848667669),black
CBCT 58,Cold Bay Creeping Thistle,2023,0,c(-162.715291607415, 55.2068148755142),black
CBCT 59,Cold Bay Creeping Thistle,2023,0,c(-162.714437842067, 55.205812792437),black
CBCT 6,Cold Bay Creeping Thistle,2023,0,c(-162.715229863909, 55.2063709315207),black
CBCT 60,Cold Bay Creeping Thistle,2023,0,c(-162.714032484369, 55.2051785444066),black
CBCT 61,Cold Bay Creeping Thistle,2023,0,c(-162.714149861794, 55.2049379130273),black
CBCT 62,Cold Bay Creeping Thistle,2023,0,c(-162.716480137202, 55.2069066704039),black
CBCT 63,Cold Bay Creeping Thistle,2023,0,c(-162.715171822812, 55.2061016835592),black
CBCT 64,Cold Bay Creeping Thistle,2023,0,c(-162.717936161071, 55.2067309215136),#FD0E35
CBCT 65,Cold Bay Creeping Thistle,2023,0,c(-162.71513760817, 55.2051692655153),black
